name,primary,secondary,accent,background,text,mood,best_for,on_primary,on_secondary,on_accent,card,card_foreground,muted,muted_foreground,border,destructive,on_destructive,ring
Sustainable Energy / Climate Tech,#059669,#10B981,#059669,#ECFDF5,#064E3B,Nature green + solar gold [Accent adjusted from #FBBF24 for WCAG 3:1],Sustainable Energy / Climate Tech,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#064E3B,#E8F1F3,#64748B,#A7F3D0,#DC2626,#FFFFFF,#059669
Personal Finance Tracker,#1E40AF,#3B82F6,#059669,#0F172A,#FFFFFF,Trust blue + profit green on dark,Personal Finance Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#101A34,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#1E40AF
Chat & Messaging App,#2563EB,#6366F1,#059669,#FFFFFF,#0F172A,Messenger blue + online green,Chat & Messaging App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Notes & Writing App,#78716C,#A8A29E,#D97706,#FFFBEB,#0F172A,Warm ink + amber accent on cream,Notes & Writing App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F6F6F6,#64748B,#EEEDED,#DC2626,#FFFFFF,#78716C
Habit Tracker,#D97706,#F59E0B,#059669,#FFFBEB,#0F172A,Streak amber + habit green,Habit Tracker,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706
Food Delivery / On-Demand,#EA580C,#F97316,#2563EB,#FFF7ED,#0F172A,Appetizing orange + trust blue,Food Delivery / On-Demand,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FDF4F0,#64748B,#FCEAE1,#DC2626,#FFFFFF,#EA580C
Ride Hailing / Transportation,#1E293B,#334155,#2563EB,#0F172A,#FFFFFF,Map dark + route blue,Ride Hailing / Transportation,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#10182B,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#1E293B
Recipe & Cooking App,#9A3412,#C2410C,#059669,#FFFBEB,#0F172A,Warm terracotta + fresh green,Recipe & Cooking App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F8F2F0,#64748B,#F2E6E2,#DC2626,#FFFFFF,#9A3412
Meditation & Mindfulness,#7C3AED,#8B5CF6,#059669,#FAF5FF,#0F172A,Calm lavender + mindful green,Meditation & Mindfulness,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F7F3FD,#64748B,#EFE7FC,#DC2626,#FFFFFF,#7C3AED
Weather App,#0284C7,#0EA5E9,#F59E0B,#F0F9FF,#0F172A,Sky blue + sun amber,Weather App,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#0284C7
Diary & Journal App,#92400E,#A16207,#6366F1,#FFFBEB,#0F172A,Warm journal brown + ink violet,Diary & Journal App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F8F3F0,#64748B,#F1E8E2,#DC2626,#FFFFFF,#92400E
CRM & Client Management,#2563EB,#3B82F6,#059669,#F8FAFC,#0F172A,Professional blue + deal green,CRM & Client Management,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Inventory & Stock Management,#334155,#475569,#059669,#F8FAFC,#0F172A,Industrial slate + stock green,Inventory & Stock Management,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F2F3F4,#64748B,#E6E8EA,#DC2626,#FFFFFF,#334155
Flashcard & Study Tool,#7C3AED,#8B5CF6,#059669,#FAF5FF,#0F172A,Study purple + correct green,Flashcard & Study Tool,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F7F3FD,#64748B,#EFE7FC,#DC2626,#FFFFFF,#7C3AED
Booking & Appointment App,#0284C7,#0EA5E9,#059669,#F0F9FF,#0F172A,Calendar blue + available green,Booking & Appointment App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#0284C7
Invoice & Billing Tool,#1E3A5F,#2563EB,#059669,#F8FAFC,#0F172A,Navy professional + paid green,Invoice & Billing Tool,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F3F5,#64748B,#E4E7EB,#DC2626,#FFFFFF,#1E3A5F
Grocery & Shopping List,#059669,#10B981,#D97706,#ECFDF5,#0F172A,Fresh green + food amber,Grocery & Shopping List,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F0F8F6,#64748B,#E1F2ED,#DC2626,#FFFFFF,#059669
Timer & Pomodoro,#DC2626,#EF4444,#059669,#0F172A,#FFFFFF,Focus red on dark + break green,Timer & Pomodoro,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#1F1829,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#DC2626
Parenting & Baby Tracker,#EC4899,#F472B6,#0284C7,#FDF2F8,#0F172A,Soft pink + trust blue,Parenting & Baby Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FDF4F8,#64748B,#FCE9F2,#DC2626,#FFFFFF,#EC4899
Scanner & Document Manager,#1E293B,#334155,#2563EB,#F8FAFC,#0F172A,Document grey + scan blue,Scanner & Document Manager,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F2F3,#64748B,#E4E5E7,#DC2626,#FFFFFF,#1E293B
Calendar & Scheduling App,#2563EB,#3B82F6,#059669,#F8FAFC,#0F172A,Calendar blue + event green,Calendar & Scheduling App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Password Manager,#1E3A5F,#334155,#059669,#0F172A,#FFFFFF,Vault dark blue + secure green,Password Manager,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#10192E,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#1E3A5F
Expense Splitter / Bill Split,#059669,#10B981,#DC2626,#F8FAFC,#0F172A,Balance green + owe red,Expense Splitter / Bill Split,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F0F8F6,#64748B,#E1F2ED,#DC2626,#FFFFFF,#059669
Voice Recorder & Memo,#DC2626,#EF4444,#2563EB,#FFFFFF,#0F172A,Recording red + waveform blue,Voice Recorder & Memo,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626
Bookmark & Read-Later,#D97706,#F59E0B,#2563EB,#FFFBEB,#0F172A,Warm amber + link blue,Bookmark & Read-Later,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706
Translator App,#2563EB,#0891B2,#EA580C,#F8FAFC,#0F172A,Global blue + teal + accent orange,Translator App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Calculator & Unit Converter,#EA580C,#F97316,#2563EB,#1C1917,#FFFFFF,Operation orange on dark,Calculator & Unit Converter,#FFFFFF,#FFFFFF,#FFFFFF,#262321,#FFFFFF,#2C1E16,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#EA580C
Alarm & World Clock,#D97706,#F59E0B,#6366F1,#0F172A,#FFFFFF,Time amber + night indigo on dark,Alarm & World Clock,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#1F1E27,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#D97706
File Manager & Transfer,#2563EB,#3B82F6,#D97706,#F8FAFC,#0F172A,Folder blue + file amber,File Manager & Transfer,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Email Client,#2563EB,#3B82F6,#DC2626,#FFFFFF,#0F172A,Inbox blue + priority red,Email Client,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Casual Puzzle Game,#EC4899,#8B5CF6,#F59E0B,#FDF2F8,#0F172A,Cheerful pink + reward gold,Casual Puzzle Game,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#FDF4F8,#64748B,#FCE9F2,#DC2626,#FFFFFF,#EC4899
Trivia & Quiz Game,#2563EB,#7C3AED,#F59E0B,#EFF6FF,#0F172A,Quiz blue + gold leaderboard,Trivia & Quiz Game,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Card & Board Game,#15803D,#166534,#D97706,#0F172A,#FFFFFF,Felt green + gold on dark,Card & Board Game,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#0F1F2B,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#15803D
Idle & Clicker Game,#D97706,#F59E0B,#7C3AED,#FFFBEB,#0F172A,Coin gold + prestige purple,Idle & Clicker Game,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706
Word & Crossword Game,#15803D,#059669,#D97706,#FFFFFF,#0F172A,Word green + letter amber,Word & Crossword Game,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F0F7F3,#64748B,#E2EFE7,#DC2626,#FFFFFF,#15803D
Arcade & Retro Game,#DC2626,#2563EB,#22C55E,#0F172A,#FFFFFF,Neon red+blue on dark + score green,Arcade & Retro Game,#FFFFFF,#FFFFFF,#0F172A,#192134,#FFFFFF,#1F1829,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#DC2626
Photo Editor & Filters,#7C3AED,#6366F1,#0891B2,#0F172A,#FFFFFF,Editor violet + filter cyan on dark,Photo Editor & Filters,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#171939,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#7C3AED
Short Video Editor,#EC4899,#DB2777,#2563EB,#0F172A,#FFFFFF,Video pink on dark + timeline blue,Short Video Editor,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#201A32,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#EC4899
Drawing & Sketching Canvas,#7C3AED,#8B5CF6,#0891B2,#1C1917,#FFFFFF,Canvas purple + tool teal on dark,Drawing & Sketching Canvas,#FFFFFF,#FFFFFF,#FFFFFF,#262321,#FFFFFF,#231B28,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#7C3AED
Music Creation & Beat Maker,#7C3AED,#6366F1,#22C55E,#0F172A,#FFFFFF,Studio purple + waveform green on dark,Music Creation & Beat Maker,#FFFFFF,#FFFFFF,#0F172A,#192134,#FFFFFF,#171939,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#7C3AED
Meme & Sticker Maker,#EC4899,#F59E0B,#2563EB,#FFFFFF,#0F172A,Viral pink + comedy yellow + share blue,Meme & Sticker Maker,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0F172A,#FDF4F8,#64748B,#FCE9F2,#DC2626,#FFFFFF,#EC4899
AI Photo & Avatar Generator,#7C3AED,#6366F1,#EC4899,#FAF5FF,#0F172A,AI purple + generation pink,AI Photo & Avatar Generator,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F7F3FD,#64748B,#EFE7FC,#DC2626,#FFFFFF,#7C3AED
Link-in-Bio Page Builder,#2563EB,#7C3AED,#EC4899,#FFFFFF,#0F172A,Brand blue + creator purple,Link-in-Bio Page Builder,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Wardrobe & Outfit Planner,#BE185D,#EC4899,#D97706,#FDF2F8,#0F172A,Fashion rose + gold accent,Wardrobe & Outfit Planner,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D
Plant Care Tracker,#15803D,#059669,#D97706,#F0FDF4,#0F172A,Nature green + sun yellow,Plant Care Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F0F7F3,#64748B,#E2EFE7,#DC2626,#FFFFFF,#15803D
Book & Reading Tracker,#78716C,#92400E,#D97706,#FFFBEB,#0F172A,Book brown + page amber,Book & Reading Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F6F6F6,#64748B,#EEEDED,#DC2626,#FFFFFF,#78716C
Couple & Relationship App,#BE185D,#EC4899,#DC2626,#FDF2F8,#0F172A,Romance rose + love red,Couple & Relationship App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D
Family Calendar & Chores,#2563EB,#059669,#D97706,#F8FAFC,#0F172A,Family blue + chore green,Family Calendar & Chores,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Mood Tracker,#7C3AED,#6366F1,#D97706,#FAF5FF,#0F172A,Mood purple + insight amber,Mood Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F7F3FD,#64748B,#EFE7FC,#DC2626,#FFFFFF,#7C3AED
Gift & Wishlist,#DC2626,#D97706,#EC4899,#FFF1F2,#0F172A,Gift red + gold + surprise pink,Gift & Wishlist,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626
Running & Cycling GPS,#EA580C,#F97316,#059669,#0F172A,#FFFFFF,Energetic orange + pace green on dark,Running & Cycling GPS,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#201C27,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#EA580C
Yoga & Stretching Guide,#6B7280,#78716C,#0891B2,#F5F5F0,#0F172A,Sage neutral + calm teal,Yoga & Stretching Guide,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F6F6F7,#64748B,#EDEEEF,#DC2626,#FFFFFF,#6B7280
Sleep Tracker,#4338CA,#6366F1,#7C3AED,#0F172A,#FFFFFF,Night indigo + dream violet on dark,Sleep Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#131936,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#4338CA
Calorie & Nutrition Counter,#059669,#10B981,#EA580C,#ECFDF5,#0F172A,Healthy green + macro orange,Calorie & Nutrition Counter,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F0F8F6,#64748B,#E1F2ED,#DC2626,#FFFFFF,#059669
Period & Cycle Tracker,#BE185D,#EC4899,#7C3AED,#FDF2F8,#0F172A,Blush rose + fertility lavender,Period & Cycle Tracker,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D
Medication & Pill Reminder,#0284C7,#0891B2,#DC2626,#F0F9FF,#0F172A,Medical blue + alert red,Medication & Pill Reminder,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#0284C7
Water & Hydration Reminder,#0284C7,#06B6D4,#0891B2,#F0F9FF,#0F172A,Refreshing blue + water cyan,Water & Hydration Reminder,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#0284C7
Fasting & Intermittent Timer,#6366F1,#4338CA,#059669,#0F172A,#FFFFFF,Fasting indigo on dark + eating green,Fasting & Intermittent Timer,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#151D39,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#6366F1
Anonymous Community / Confession,#475569,#334155,#0891B2,#0F172A,#FFFFFF,Protective grey + subtle teal on dark,Anonymous Community / Confession,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#131B2F,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#475569
Local Events & Discovery,#EA580C,#F97316,#2563EB,#FFF7ED,#0F172A,Event orange + map blue,Local Events & Discovery,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FDF4F0,#64748B,#FCEAE1,#DC2626,#FFFFFF,#EA580C
Study Together / Virtual Coworking,#2563EB,#3B82F6,#059669,#F8FAFC,#0F172A,Focus blue + session green,Study Together / Virtual Coworking,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Coding Challenge & Practice,#22C55E,#059669,#D97706,#0F172A,#FFFFFF,Code green + difficulty amber on dark,Coding Challenge & Practice,#0F172A,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#10242E,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#22C55E
Kids Learning (ABC & Math),#2563EB,#F59E0B,#EC4899,#EFF6FF,#0F172A,Learning blue + play yellow + fun pink,Kids Learning (ABC & Math),#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Music Instrument Learning,#DC2626,#9A3412,#D97706,#FFFBEB,#0F172A,Musical red + warm amber,Music Instrument Learning,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626
Parking Finder,#2563EB,#059669,#DC2626,#F0F9FF,#0F172A,Available blue/green + occupied red,Parking Finder,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Public Transit Guide,#2563EB,#0891B2,#EA580C,#F8FAFC,#0F172A,Transit blue + line colors,Public Transit Guide,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
Road Trip Planner,#EA580C,#0891B2,#D97706,#FFF7ED,#0F172A,Adventure orange + map teal,Road Trip Planner,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FDF4F0,#64748B,#FCEAE1,#DC2626,#FFFFFF,#EA580C
VPN & Privacy Tool,#1E3A5F,#334155,#22C55E,#0F172A,#FFFFFF,Shield dark + connected green,VPN & Privacy Tool,#FFFFFF,#FFFFFF,#0F172A,#192134,#FFFFFF,#10192E,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#1E3A5F
Emergency SOS & Safety,#DC2626,#EF4444,#2563EB,#FFF1F2,#0F172A,Alert red + safety blue,Emergency SOS & Safety,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626
Wallpaper & Theme App,#7C3AED,#EC4899,#2563EB,#FAF5FF,#0F172A,Aesthetic purple + trending pink,Wallpaper & Theme App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F7F3FD,#64748B,#EFE7FC,#DC2626,#FFFFFF,#7C3AED
White Noise & Ambient Sound,#475569,#334155,#4338CA,#0F172A,#FFFFFF,Ambient grey + deep indigo on dark,White Noise & Ambient Sound,#FFFFFF,#FFFFFF,#FFFFFF,#192134,#FFFFFF,#131B2F,#94A3B8,"rgba(255,255,255,0.08)",#DC2626,#FFFFFF,#475569
Home Decoration & Interior Design,#78716C,#A8A29E,#D97706,#FAF5F2,#0F172A,Interior warm grey + gold accent,Home Decoration & Interior Design,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F6F6F6,#64748B,#EEEDED,#DC2626,#FFFFFF,#78716C
Academic Journal / Scholarly Publishing,#1E3A5F,#334155,#B45309,#F8FAFC,#0F172A,Scholarly navy + citation gold + serif accent,Academic Journal / Scholarly Publishing,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#E9EEF5,#64748B,#CBD5E1,#DC2626,#FFFFFF,#1E3A5F
API Developer Portal,#0F172A,#1E293B,#22C55E,#020617,#F8FAFC,Code dark + endpoint green + syntax colors,API Developer Portal,#FFFFFF,#FFFFFF,#0F172A,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#EF4444,#FFFFFF,#0F172A
Forum / Discussion Board,#475569,#64748B,#2563EB,#F8FAFC,#1E293B,Neutral grey + topic accent + unread indicator,Forum / Discussion Board,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E293B,#EAEFF3,#64748B,#E2E8F0,#DC2626,#FFFFFF,#475569
Directory / Listing Site,#059669,#10B981,#D97706,#ECFDF5,#064E3B,Category green + verified badge + map accent,Directory / Listing Site,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#064E3B,#E8F1F3,#64748B,#A7F3D0,#DC2626,#FFFFFF,#059669
Status Page / Incident Management,#16A34A,#22C55E,#DC2626,#F0FDF4,#14532D,Operational green + incident red + maintenance amber,Status Page / Incident Management,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#16A34A
Wiki / Encyclopedia,#1E3A8A,#3B82F6,#7C3AED,#F8FAFC,#1E40AF,Knowledge blue + link purple + clean white,Wiki / Encyclopedia,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E40AF,#E9EEF5,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E3A8A
Auction Platform,#0F172A,#1E293B,#16A34A,#020617,#F8FAFC,Dark luxury + bid green + outbid red + urgency,Auction Platform,#FFFFFF,#FFFFFF,#0F172A,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#DC2626,#FFFFFF,#0F172A
Changelog / Release Notes,#475569,#64748B,#059669,#F8FAFC,#1E293B,Feature green + fix blue + breaking red badges,Changelog / Release Notes,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E293B,#EAEFF3,#64748B,#E2E8F0,#DC2626,#FFFFFF,#475569
Citizen Science Platform,#15803D,#22C55E,#D97706,#F0FDF4,#14532D,Discovery green + volunteer badge + data neutral,Citizen Science Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D
Classifieds / Buy-Sell,#2563EB,#3B82F6,#16A34A,#EFF6FF,#1E40AF,Listing blue + price green + seller badge,Classifieds / Buy-Sell,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E40AF,#E9EFF8,#64748B,#BFDBFE,#DC2626,#FFFFFF,#2563EB
Conference / Symposium Landing Page,#1E3A5F,#2563EB,#A16207,#F8FAFC,#0F172A,Academic navy + gold keynote + track chips,Conference / Symposium Landing Page,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#E9EEF5,#64748B,#CBD5E1,#DC2626,#FFFFFF,#1E3A5F
Crowdfunding Platform,#D97706,#F59E0B,#16A34A,#FFFBEB,#0F172A,Funding progress amber + goal green + urgency,Crowdfunding Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706
Digital Signage / Kiosk,#0F172A,#1E293B,#EF4444,#020617,#F8FAFC,High contrast dark + brand accent + large touch targets,Digital Signage / Kiosk,#FFFFFF,#FFFFFF,#FFFFFF,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#EF4444,#FFFFFF,#0F172A
E-signature / Document Workflow,#1E3A5F,#2563EB,#16A34A,#F8FAFC,#0F172A,Trust navy + signature green + audit trail,E-signature / Document Workflow,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#E9EEF5,#64748B,#CBD5E1,#DC2626,#FFFFFF,#1E3A5F
Feature Flag / Config Management,#0F172A,#1E293B,#16A34A,#020617,#F8FAFC,Enabled green + disabled grey + experimental amber,Feature Flag / Config Management,#FFFFFF,#FFFFFF,#0F172A,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#DC2626,#FFFFFF,#0F172A
Government Portal / Civic Services,#1E40AF,#3B82F6,#16A34A,#EFF6FF,#1E3A8A,Professional blue + service green + accessibility,Government Portal / Civic Services,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E3A8A,#E9EFF5,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E40AF
Grant / Funding Portal,#1E3A5F,#2563EB,#16A34A,#F8FAFC,#0F172A,Institution navy + funding green + deadline urgency,Grant / Funding Portal,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#E9EEF5,#64748B,#CBD5E1,#DC2626,#FFFFFF,#1E3A5F
LMS (Learning Management System),#0D9488,#2DD4BF,#D97706,#F0FDFA,#134E4A,Education teal + course amber + grade green,LMS (Learning Management System),#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#134E4A,#E8F1F4,#64748B,#5EEAD4,#DC2626,#FFFFFF,#0D9488
No-code / Low-code Builder,#7C3AED,#A78BFA,#EC4899,#FAF5FF,#4C1D95,Builder purple + component pink + canvas neutral,No-code / Low-code Builder,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#4C1D95,#ECEEF9,#64748B,#DDD6FE,#DC2626,#FFFFFF,#7C3AED
Open Source Project Landing,#0F172A,#1E293B,#A16207,#020617,#F8FAFC,Dark code + star gold + fork silver + sponsor purple,Open Source Project Landing,#FFFFFF,#FFFFFF,#FFFFFF,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#22C55E,#FFFFFF,#0F172A
Patient Portal / Health Records,#0284C7,#0891B2,#16A34A,#F0F9FF,#0C4A6E,Clinical blue + health green + alert red,Patient Portal / Health Records,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0284C7
Patent / IP Database,#475569,#64748B,#A16207,#F8FAFC,#1E293B,Formal neutral + patent type chips + status badges,Patent / IP Database,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E293B,#EAEFF3,#64748B,#E2E8F0,#DC2626,#FFFFFF,#475569
Q&A Community Platform,#2563EB,#0891B2,#D97706,#F8FAFC,#0F172A,Knowledge blue + accepted green + reputation gold,Q&A Community Platform,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB
